,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
128,2021-01-26,500,内地企业,Mainland Enterprises,6969,思摩尔国际,Smoore International Holdings Limited,HKG
129,2021-01-26,500,内地企业,Mainland Enterprises,9633,农夫山泉,"NONGFU SPRING CO., LTD.",HKG
130,2021-01-26,500,内地企业,Mainland Enterprises,GDS,GDS Holdings Ltd,GDS Holdings Ltd,NMQ
131,2021-01-26,500,内地企业,Mainland Enterprises,IQ,IQIYI,IQIYI ADS REP 7 CL A ORD,NSQ
132,2021-01-26,500,内地企业,Mainland Enterprises,JD,京东商城,JD.com Inc,NSQ
133,2021-01-26,500,内地企业,Mainland Enterprises,KC,金山云,KINGSOFT CLOUD HOLD ADR REP 15 ORD,NSQ
134,2021-01-26,500,内地企业,Mainland Enterprises,LI,理想汽车,LI AUTO ADR 2 ORD,NSQ
135,2021-01-26,500,内地企业,Mainland Enterprises,WB,微博,Weibo Corp,NSQ
136,2021-01-26,500,内地企业,Mainland Enterprises,YY,欢聚时代,YY,NSQ
137,2021-01-26,500,内地企业,Mainland Enterprises,PDD,拼多多,PINDUODUO ADR REP 4 ORD,NSQ
138,2021-01-26,500,内地企业,Mainland Enterprises,BGNE,BeiGene Ltd,BeiGene Ltd,NSQ
139,2021-01-26,500,内地企业,Mainland Enterprises,BIDU,百度,Baidu,NSQ
140,2021-01-26,500,内地企业,Mainland Enterprises,BILI,哔哩哔哩,BILIBILI ADS,NSQ
141,2021-01-26,500,内地企业,Mainland Enterprises,DOYU,斗鱼,DOUYU INTERNATIONAL HOLDINGS ADR,NSQ
142,2021-01-26,500,内地企业,Mainland Enterprises,JOBS,前程无忧,51job,NSQ
143,2021-01-26,500,内地企业,Mainland Enterprises,MOMO,陌陌,Momo Inc,NSQ
144,2021-01-26,500,内地企业,Mainland Enterprises,NTES,网易,NetEase,NSQ
145,2021-01-26,500,内地企业,Mainland Enterprises,EDU,新东方教育,New Oriental,NYS
146,2021-01-26,500,内地企业,Mainland Enterprises,NIO,蔚来,NIO ADS REP 1 CL A ORD,NYS
147,2021-01-26,500,内地企业,Mainland Enterprises,TAL,好未来,TAL Edu Grp,NYS
148,2021-01-26,500,内地企业,Mainland Enterprises,TME,腾讯音乐,TENCENT MUSC ENT ADR REP 2 CL A ORD,NYS
149,2021-01-26,500,内地企业,Mainland Enterprises,ZTO,ZTO Express (Cayman) Inc,ZTO Express (Cayman) Inc,NYS
150,2021-01-26,500,内地企业,Mainland Enterprises,ATHM,汽车之家,Autohome Inc,NYS
151,2021-01-26,500,内地企业,Mainland Enterprises,BABA,阿里巴巴,ALIBABA GROUP HOLDING,NYS
152,2021-01-26,500,内地企业,Mainland Enterprises,HUYA,虎牙直播,HUYA ADR CL A ORD,NYS
153,2021-01-26,500,内地企业,Mainland Enterprises,VIPS,唯品会,Vipshop Holdings,NYS
154,2021-01-26,500,内地企业,Mainland Enterprises,YUMC,Yum China Holdings Inc,Yum China Holdings Inc,NYS
155,2021-01-26,500,内地企业,Mainland Enterprises,600009,上海机场,Shanghai International Airport Co Ltd,SHH
156,2021-01-26,500,内地企业,Mainland Enterprises,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,SHH
157,2021-01-26,500,内地企业,Mainland Enterprises,600011,华能国际,Huaneng Power International Inc,SHH
158,2021-01-26,500,内地企业,Mainland Enterprises,600018,上港集团,Shanghai International Port (Group) Co Ltd,SHH
159,2021-01-26,500,内地企业,Mainland Enterprises,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,SHH
160,2021-01-26,500,内地企业,Mainland Enterprises,600025,华能水电,HuanengLancang River Hydropower Inc.,SHH
161,2021-01-26,500,内地企业,Mainland Enterprises,600028,中国石化,China Petroleum & Chemical Corporation,SHH
